Date,DowChemical,Dupont,S&P500
9/3/2010,-0.01,-0.013,0.002
8/3/2010,-0.017,0.013,0
5/3/2010,0.015,0.048,0.014
4/3/2010,-0.002,0,0.004
3/3/2010,0.025,0.014,0
2/3/2010,0.007,0.024,0.002
1/3/2010,0.013,0.025,0.01
26/2/2010,0,-0.015,0.001
25/2/2010,-0.024,0.009,-0.002
24/2/2010,0.004,0.024,0.01
23/2/2010,-0.016,-0.001,-0.012
22/2/2010,0.004,0.007,-0.001
19/2/2010,-0.011,0.012,0.002
18/2/2010,0.027,0.029,0.007
17/2/2010,0.009,0.003,0.004
16/2/2010,0.025,0.031,0.018
12/2/2010,-0.003,0.051,-0.003
11/2/2010,0.013,0.055,0.01
10/2/2010,-0.01,0,-0.002
9/2/2010,0.06,-0.003,0.013
8/2/2010,-0.013,-0.034,-0.009
5/2/2010,-0.003,-0.009,0.003
4/2/2010,-0.036,-0.043,-0.032
3/2/2010,0,0.006,-0.005
2/2/2010,-0.038,0.012,0.013
1/2/2010,0.055,0.031,0.014
29/1/2010,-0.01,-0.004,-0.01
28/1/2010,-0.031,-0.014,-0.012
27/1/2010,0.005,0.017,0.005
26/1/2010,-0.011,-0.008,-0.004
25/1/2010,0.023,0.01,0.005
22/1/2010,-0.032,-0.008,-0.022
21/1/2010,-0.057,-0.003,-0.019
20/1/2010,-0.01,-0.011,-0.011
19/1/2010,0.023,0.018,0.012
15/1/2010,-0.018,0.008,-0.011
14/1/2010,-0.007,0.008,0.002
13/1/2010,-0.004,0.016,0.008
12/1/2010,0.003,-0.013,-0.009
11/1/2010,-0.013,-0.022,0.002
8/1/2010,0.004,-0.022,0.003
7/1/2010,0.001,-0.021,0.004
6/1/2010,0.018,0.001,0.001
5/1/2010,0.044,-0.028,0.003
4/1/2010,0.055,-0.003,0.016
